ID	F1_2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	Gene	new_Gene
hemA_ctrl	1.59011216054118	10.0187391411299	27.3748935104038	20.2660769066435	8.26839470094283	5.54700810451641	3.935497342838	4.58275209022752	2.17576157071785	1.87683745631171	1.40193525950869	1.46098286941484	1.35176132713337	1.31927996655118	1.4177689456919	1.92947943287073	1.91063799088754	3.57208122366906	hemA	hemA(alr1042)
hetY_ctrl	2.751522659232	11.1917460627586	20.9864474750491	18.5041081684993	11.8238700924893	7.23486720665645	3.41390578876544	2.92418856984921	1.93767940017229	1.78322687072434	1.36965792477229	1.31829607049031	1.12013044849021	1.19880768834384	1.67423957355259	2.65984740180481	2.35726334177715	5.75019525657277	hetY	hetY(alr2300)
alr2298_ctrl	3.90990740381146	7.81343742470475	13.2267686825519	12.3172660247936	11.4464399405837	8.62712788701179	5.37541101944523	4.53851703526797	3.10247103213627	2.89459031095013	2.77244520431622	2.96567353937992	2.80321326716474	2.90327682577549	3.18100217169741	3.18159714618179	3.25076000800468	5.69009507622301	alr2298	alr2298
rbcX_ctrl	4.80536650519991	29.3479206282742	21.3279108753729	8.79085115357616	3.32824041693837	2.2177795105985	1.35705749723695	1.56475540566771	2.0297248250118	2.13032431799791	1.07034011606265	0.870067470022963	1.03065942594243	1.06834357560638	2.83309107372259	7.9528269799235	4.6859092211068	3.58883100173829	rbcX	rbcX(alr1525)
nifH_ctrl	2.3049648565143	19.3809342576216	26.0982976629863	16.5803664767256	8.04617372035287	5.15462690284022	3.36371360788925	2.08348132108414	1.39452447606525	1.1169352569823	1.01556829082121	1.11531041523966	1.05571726739618	1.57110648472875	1.43892137424237	1.96240910433064	2.02060183284234	4.29634669133701	nifH	nifH(all1455)
nifK_ctrl	1.40735022324964	11.5132576699147	22.0185480414337	19.1478445745765	15.572446131105	13.3836531871674	5.28447539685556	2.36552949962282	1.06847635868337	0.781201709199222	0.771923416890399	0.722298109227777	0.756507197746285	0.645775005688842	0.81007753470872	0.888258891640622	0.77528767420861	2.08708937808079	nifK	nifK(all1440)
rbcL_ctrl	0.116790049400309	0.600195605743614	1.94730012353985	2.66010717649247	1.61847024902974	1.05071251467003	1.52914073345992	3.59064685801525	34.3144894092255	27.3226710968963	6.00588494053198	3.03691317574385	2.07538647600546	2.14384132156881	2.76853816792367	3.40672452722862	2.64661057422907	3.16557700029554	rbcL	rbcL(alr1524)
glnA_ctrl	0.227057613301462	0.825818191728972	0.978942150096031	0.794989829860804	0.501597903255776	0.402919339067733	0.352799996155579	0.753341739694588	2.69799361775769	16.8975787186681	53.4433006746755	14.8427550369443	3.21193284827138	1.49149924160123	0.936830469880692	0.758692562888901	0.429889285227896	0.452060780923471	glnA	glnA(alr2328)
hanA_ctrl	12.6110844570151	52.0349905017667	22.893501007699	7.72100944676218	1.90216544607947	0.929996964285996	0.451274827452012	0.301772450973606	0.1548095734576	0.0874872787112312	0.0918697125164937	0.0821914636260484	0.0796051645944316	0.0801076212934041	0.0840394587328907	0.136453260374537	0.12907147336944	0.228569891289904	hanA	hanA(asr3935)
rbcS_ctrl	1.13326148483992	6.65076255766874	9.03873893534023	9.42186638285745	9.34840397023987	12.0282226567201	12.3314424276574	18.0813040615447	11.5369411364728	4.89762397325738	1.4076936014285	0.804628255560063	0.542695607301605	0.47016356516217	0.400312284967351	0.529604232196009	0.444616152572885	0.931718714212838	rbcS	rbcS(alr1526)
atpB_ctrl	0.54282770589886	7.65783743598523	8.06791236495101	3.39872840305131	2.36420382228371	3.91672168614053	7.59450276966983	32.3309634039673	12.3338549495347	5.14181006170252	3.03094560409446	2.55163847903245	2.05215181516232	1.9340154571177	2.1854832403713	1.96185593299048	1.2766720558944	1.65787481215189	atpB	atpB(all5039)
atpE_ctrl	3.17316929108089	8.33296380792517	5.48784146312545	4.909751731577	5.59588516897112	4.66806819394172	5.04479494237867	36.6958193316408	9.41875176838601	3.70917991768667	2.03486432205571	1.62017661636576	1.5647636588557	1.44133463993624	1.69529473837446	1.72613893868998	1.37715816506386	1.50404330394476	atpE	atpE(all5038)
cpcB_ctrl	0.305601391086573	5.27328904294957	8.70192164538216	9.81380128848305	11.8239563645169	20.706208229101	25.2066353589123	13.6286052217762	2.24199770521269	0.732355998603868	0.328769665806089	0.220260468617318	0.166844196396467	0.143452613710978	0.171053555196897	0.203596568422854	0.138919724699359	0.192730961125768	cpcB	cpcB(alr0528)
cpcA_ctrl	0.555480005088146	6.92215563661992	9.56709774697468	10.9169042600682	12.0911405713011	19.9520709428769	21.5462635694409	13.2628746234651	2.56466870917853	0.846622820643503	0.387279347489982	0.255460882699388	0.19634316239075	0.184211291744621	0.208793267494109	0.173381398426226	0.149453424662722	0.21979833943515	cpcA	cpcA(alr0529)
cpcC_ctrl	0.257636974569605	1.74513045654965	3.97985121927934	6.49050912817506	10.2683962892932	17.238897966056	15.5111353858795	19.5222186832852	5.77924448270055	2.09254315688254	1.29390279507071	1.202432423812	1.34395428372496	1.60327729651753	2.30860274969725	3.12055534155931	2.78723285912952	3.45447850781804	cpcC	cpcC(alr0530)
cpcD_ctrl	2.78124972645003	11.3930822822098	16.4908142262216	19.4144979674216	13.7340134352329	12.3387757123696	13.9347022856905	6.39360275930945	0.955090664221281	0.440974892363432	0.240740750019342	0.179221943676067	0.168313293324694	0.125590262298921	0.220386959668516	0.368978038949263	0.303704267218722	0.51626053335437	cpcD	cpcD(asr0531)
