"F1_2"	"F3"	"F4"	"F5"	"F6"	"F7"	"F8"	"F9"	"F10"	"F11"	"F12"	"F13"	"F14"	"F15"	"F16"	"F17"	"F18"	"F19"
"hemA(alr1042)"	1.8531813694859	11.1882869983892	28.770406638721	20.6903286236002	8.42677645490215	4.88970880375258	3.15311161721375	3.15755345562712	1.83333466031787	1.46439977532747	1.28910884943456	1.37289613347286	1.40308417329733	1.36055270203415	1.34935057561549	1.99065506270333	2.28459335124195	3.52267075486308
"hetY(alr2300)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"alr2298"	4.56603141917472	7.33323796195704	6.16788196453325	7.3132476590751	11.268810890597	9.14616543989182	6.06565822239051	5.64350858647964	3.82569396074959	3.45238002465269	3.53467733856569	4.17138205918829	3.94256599099408	3.83120322868643	4.67795345387311	4.24683553824424	4.19788876716232	6.61487749378449
"rbcX(alr1525)"	3.6546196024286	27.7344883106738	16.1087690931297	7.18708218591688	2.18549087449405	1.63330920425554	1.25539449789662	3.00100995932805	1.63714628120679	2.05107159829062	1.52463975697283	1.28789813419307	0.974200408013886	2.31806857234444	1.72582003385206	7.17493651139836	10.8573239807647	7.68873099484007
"nifH(all1455)"	2.11672183088463	19.1576315101581	27.3259978488714	16.9668803555753	8.07685517577484	5.52149623724563	3.27641056063535	2.26851772416121	1.32044782375995	1.12892285975943	1.21053667008654	1.27987315932096	1.02698369435401	1.23513685442828	1.19653205038687	1.59178390359609	1.95171304744765	3.34755869355379
"nifK(all1440)"	1.7640905919391	10.7582554668778	21.5682622864707	18.7607187248246	14.8052343254425	13.2303014308135	5.78006871667407	2.89749632126874	1.1511279221891	0.767181402514874	0.850033613886322	0.754536696027044	0.873832574982421	0.833446317188258	1.07691971624834	1.05598380879007	0.933179039551066	2.13933104431145
"rbcL(alr1524)"	0.135118164110729	0.632958245158289	1.78118947381639	2.39331936514708	1.45689913186208	1.01909578656921	1.51124132022959	3.64829171173601	30.1265655761574	28.0908131904408	7.39841297623066	3.51656979859129	2.49333151356263	2.41897641614487	3.18922463406325	3.49179575923745	3.23949373054956	3.4567032063927
"glnA(alr2328)"	0.242644814612346	0.949343808544816	1.03874068841662	0.803537775377815	0.438879339689595	0.343306297935331	0.287356005466782	0.721163976775492	2.6507291766085	13.0626391334409	54.3198115886866	17.6004070857707	3.50212744954168	1.51878995817404	0.971348358733918	0.649063017300493	0.425267838943819	0.474843685980521
"hanA(asr3935)"	11.5642222943659	53.1995110339291	21.9949384656961	8.166320291729	1.88097309992858	1.03512090540162	0.509790887980781	0.304947932150409	0.163466288554026	0.105738030939278	0.117266105571681	0.115061694442426	0.0713443248741709	0.109469439615669	0.0965469686127032	0.164723779209997	0.175594530877141	0.224963926121428
"rbcS(alr1526)"	1.2701593373758	7.08142478622086	9.58769237440173	8.99870107004186	8.89127677006139	11.6367975843784	12.3282012358437	15.8369481219462	12.4022604713822	5.5617167554157	1.69096323285525	0.857752599036903	0.629772872162737	0.625399656241038	0.583120105920743	0.547809115586457	0.505308342676736	0.964695568452282
"atpB(all5039)"	0.638711498750882	8.87635104633559	9.97856695772075	4.37129031622283	2.55873621301144	3.9534428056508	7.12330894198151	26.4635657030163	13.2403357323108	4.87284719096065	3.40189130063746	2.77989358403395	2.29052665784647	1.99455700666286	2.39871650599702	1.8833301000081	1.48355466502428	1.69037377382833
"atpE(all5038)"	3.42119657395163	9.39864321051504	6.88572901934231	5.88059765432502	7.07283905058956	5.64652201408541	5.38415242056633	26.4047792252895	10.3682255074129	3.61146651425824	2.4107012103887	1.95210372936978	2.05467547830823	1.78227103221369	2.1429596863068	1.86449896649647	1.82397754400034	1.89466116258007
"cpcB(alr0528)"	0.294699910816666	5.38881657403531	8.46583096560434	9.4883396016939	11.7474249419468	20.7929473135638	24.6273054542459	14.01161142057	2.49501143441761	0.785204591145484	0.39707564693022	0.299624028069964	0.215206199389825	0.173213906314525	0.204597934622823	0.212585322020026	0.155504328900465	0.245000425712276
"cpcA(alr0529)"	0.5085787284587	7.47587008263024	8.98754254380102	10.8024795709945	11.6823919864211	20.7587472243923	21.0533785404189	12.9928698774639	2.79739244274006	0.87764135404507	0.450242538856541	0.31093110522854	0.238178979668104	0.187596243188331	0.246623047297419	0.189793534551826	0.176556469613936	0.263185730229562
"cpcC(alr0530)"	0.26501141384134	1.72374080529806	3.88593322319583	6.0600045395054	9.97350289411031	18.0016998361548	17.2465306807523	17.2456168793767	5.97170410389415	1.96378820023481	1.37749716785283	1.24619296825025	1.49742416778196	1.58346900144202	2.35830584420425	2.80255628105378	3.14531083612188	3.65171115692933
"cpcD(asr0531)"	2.67074256069944	11.3268683604658	16.0429165690517	18.6927955512371	13.8780550316834	13.0082749428305	14.0912544875433	6.37145694566166	1.0936900087059	0.452342769304423	0.272096791374142	0.224838676006217	0.187351790859734	0.119048392070547	0.188389038338913	0.244743773398294	0.377174223428323	0.757960087340623
"cpcE(alr0532)"	1.46431657017363	23.9239012334598	40.1877660090002	13.9749387855767	4.7445966563987	2.77696799169889	1.84716816039209	1.95222874625828	0.99394894908331	1.15538321315079	1.19831488499841	0.769878283249424	0.834560019320924	0.834245757357884	0.890429958769572	0.562774399932506	0.661456479354613	1.2271239018242
"petB(alr3421)"	1.3725481478242	5.07623922953666	9.93314690203621	20.6880327953448	15.5822042225793	18.7187392079315	14.687666402142	6.58537475627533	2.13511417034933	1.32664749087724	0.719475864391987	0.622304555819452	0.417469424058897	0.366997266390258	0.333361807389853	0.393846595175312	0.397424181946415	0.64340697993131
