"F1_2"	"F3"	"F4"	"F5"	"F6"	"F7"	"F8"	"F9"	"F10"	"F11"	"F12"	"F13"	"F14"	"F15"	"F16"	"F17"	"F18"	"F19"
"hemA(alr1042)"	1.17248847670717	10.5597919373851	33.1191420294106	22.3901386845101	8.39886626927662	5.17050387100241	2.87254300238006	2.48636870511914	1.23570756754053	1.32990342364112	0.931007442532096	0.793119285586352	0.886157993267751	0.734122038585335	1.25401128294213	1.20173881539034	1.41993530002853	4.04445387469467
"hetY(alr2300)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"alr2298"	4.9879193274098	11.5523422752075	27.7508198239375	23.7164162809543	9.58343438135346	5.76802917927652	2.99232471524903	1.98625988287607	1.39387205146464	1.19736835052531	0.982541845951709	0.807316081978492	0.857897382810592	0.840861796076443	0.847604514897649	1.04270450419875	1.29900086570581	2.39328674012645
"rbcX(alr1525)"	5.78092711685222	24.7351614280159	28.9754848451231	9.77184610372681	4.73987145886339	2.94602551800127	1.71485135408091	2.36791705079222	2.02551807144882	1.67670785285039	2.37014877220929	1.77807059567245	1.42049284767212	1.45324450423809	2.58966159230197	1.2508942186837	2.06515772874498	2.33801894072233
"nifH(all1455)"	2.86015098659929	17.7502610502681	23.2350035018416	16.106785561516	7.94448427844862	4.61737260542884	4.44777681415338	1.8366371808319	1.36336694425711	1.21503320782636	0.87154225719778	0.831980129609862	0.903969378107034	2.16901749003769	2.13821414109702	2.7043334513792	2.66337477110974	6.34069625029052
"nifK(all1440)"	0.99774611290792	12.174667616964	20.1408210280336	19.7767736496484	18.8714460894156	14.3611647939003	4.94167790166489	1.75068572466463	0.980513787844371	0.913273791980607	0.619549699137719	0.526900117588909	0.404914307400682	0.270278791566297	0.384265589294335	0.552722792649253	0.581700832659483	1.75089737267911
"rbcL(alr1524)"	0.0888215586507097	0.54296357648122	1.79886138305437	2.27501871858112	1.39108109320923	0.893758346021694	1.74255257075674	5.04785468982785	46.6410797593642	19.1505596897809	4.00682116304062	2.55456040069452	1.71255252666213	2.34637490454527	2.83668489017777	2.55083743040258	2.20988099285361	2.20973630589542
"glnA(alr2328)"	0.223449679913976	0.717608570556038	1.00895663255508	0.813493373805187	0.590320101074765	0.467420674894215	0.457167269166273	1.27115362769817	3.1295199232144	37.8918105627744	40.4094421983856	8.0825476279676	2.06648896745683	1.05137243547088	0.617709083033615	0.438674536531312	0.330766173987885	0.432098561513748
"hanA(asr3935)"	19.1800289748869	44.5344748809424	24.0809728903535	7.6052665760613	2.1424835360242	0.958595240805696	0.444200809867569	0.305515641555109	0.129819899029304	0.0828518922294477	0.0473529348503283	0.0520103459062825	0.057315258902945	0.0386992639088988	0.0514411954964818	0.0571531667815375	0.0485258251566142	0.183291667241583
"rbcS(alr1526)"	0.878882432148775	5.23324460739479	8.2785552125683	11.1753990958563	11.5275518848281	13.3839770327551	14.2384677067239	15.8241509551974	10.892337304723	3.68130017716566	1.02231012785855	0.721701166845678	0.382516626689464	0.290943401150804	0.274366021062171	0.5592586338844	0.471208383597591	1.16382922955004
