"ID"	"F1_2"	"F3"	"F4"	"F5"	"F6"	"F7"	"F8"	"F9"	"F10"	"F11"	"F12"	"F13"	"F14"	"F15"	"F16"	"F17"	"F18"	"F19"	"Gene"	"new_Gene"	"Feature.Subtype"	"Sample"
"hemA(alr1042)"	"hemA_rnase"	1.34778474787801	11.4992561705837	34.1206161415552	22.3911899176072	8.32149857223031	4.55874055091149	2.41533887336749	1.86996303319081	1.06595263053098	1.08783931189259	0.905726564436287	0.738521836458559	0.898296725815049	0.747441553045581	1.1762422205724	1.27454637466217	1.69670312564976	3.88434164961251	"hemA"	"hemA(alr1042)"	"Protein"	"rnase"
"hetY(alr2300)"	"hetY_rnase"	2.73253785452507	9.56162102400864	22.8992439130693	18.3187793261077	10.8458464236876	6.86486048664152	3.57314131916972	3.96338146087248	2.15686937823627	1.36578800311502	1.14787260604166	1.73501202128799	1.78268803452141	1.72884533026501	1.4883925158707	5.62301855572957	1.50840805662757	2.70369369022284	"hetY"	"hetY(alr2300)"	"Protein"	"rnase"
"alr2298"	"alr2298_rnase"	7.09953932620988	13.1036245795385	18.0246148759765	17.6539692988633	11.1025385125144	7.26924645176412	4.03939526181194	3.02069342875603	2.11164941996207	1.74967577083583	1.55894019998741	1.46518822424204	1.55325885787543	1.38212769620416	1.6780026486783	1.74658382919624	2.0847093122121	3.35624230537168	"alr2298"	"alr2298"	"Protein"	"rnase"
"rbcX(alr1525)"	"rbcX_rnase"	5.1557399800941	27.3502459880053	26.6352757542678	9.27167133279164	3.76495723653645	2.56867266534013	1.85569699840653	2.22488934027288	1.91729117218206	1.85446900657235	1.52533406729532	1.18190942665698	1.55189916421519	1.78158126521519	3.03267103585775	2.46579481030165	3.09009793856947	2.77180281741926	"rbcX"	"rbcX(alr1525)"	"Protein"	"rnase"
"nifH(all1455)"	"nifH_rnase"	2.66617950745614	17.6549342856327	24.5233138507322	16.6351794859575	8.03046702518382	5.01107814245911	4.4118224145979	2.02477780612619	1.30417683220237	1.23423918853045	1.06825367248849	0.970725027139957	0.889646269281381	1.76111165510475	1.82315101225586	2.25500119882161	2.60151363058152	5.13442899544808	"nifH"	"nifH(all1455)"	"Protein"	"rnase"
"nifK(all1440)"	"nifK_rnase"	1.29809509676975	11.4505531352514	19.8368734395049	19.5154101592613	18.096148021305	14.275697565968	5.49662909877966	2.20859614655375	1.06742984413943	0.912073188038069	0.698004147337041	0.551797567403378	0.480012195774745	0.367665687656847	0.541336486231592	0.675693404176311	0.721061367483213	1.80692344836549	"nifK"	"nifK(all1440)"	"Protein"	"rnase"
"rbcL(alr1524)"	"rbcL_rnase"	0.106567343860819	0.576434947876734	1.65210653537532	2.05951444698694	1.25671224909058	0.870073873868481	1.7537061309475	5.94739835186928	41.6231798927851	19.9041103722257	5.10447701205994	2.98811848697795	2.12445338742813	2.67728780905351	3.39750794308969	2.63117678154093	2.81666858685282	2.51050584811054	"rbcL"	"rbcL(alr1524)"	"Protein"	"rnase"
"glnA(alr2328)"	"glnA_rnase"	0.249299871166116	0.87266441568279	1.11637809683136	0.857242063477923	0.54144025546916	0.418716478615703	0.395037432573222	1.29189188804474	3.23907246306647	32.2851084850253	43.1377605530292	10.2346576345969	2.36651764473926	1.11392956412636	0.669765685334425	0.394516993041114	0.341372374091698	0.474628101088259	"glnA"	"glnA(alr2328)"	"Protein"	"rnase"
"hanA(asr3935)"	"hanA_rnase"	17.9876914704918	45.578110933128	23.325890664769	8.10228611310543	2.13292669852432	1.08022683759586	0.512237997250166	0.317783389853249	0.138013782976143	0.110356714332429	0.0632388971111659	0.0818974433965555	0.0537980842550407	0.0600811348049698	0.0752405782658369	0.0964951490357015	0.0832535791599125	0.20047053194442	"hanA"	"hanA(asr3935)"	"Protein"	"rnase"
"rbcS(alr1526)"	"rbcS_rnase"	1.01689302336502	5.8103844003977	8.83757066529829	10.5851419453814	10.8416926605714	12.825121578344	14.1114092305532	14.5240310722546	11.6143511592487	4.15612111337796	1.25945278148421	0.77151929392437	0.464551195211895	0.406315630257133	0.437525650116981	0.581715101781887	0.536389298941922	1.21981419948942	"rbcS"	"rbcS(alr1526)"	"Protein"	"rnase"
"atpB(all5039)"	"atpB_rnase"	0.681095539038899	8.82777351897398	9.0899232147019	4.45502061236702	3.65489987356404	4.71481711070253	13.4611179918591	25.5251268930721	7.93856019565158	4.97872366434215	3.35190178160729	2.81854360228125	2.17651706359573	2.2395504833763	2.15300012760791	1.54643796460558	1.24590212671018	1.14108823594247	"atpB"	"atpB(all5039)"	"Protein"	"rnase"
"atpE(all5038)"	"atpE_rnase"	3.30212170024616	8.07714739066845	7.55659141630099	7.77311903259646	8.87411646349494	5.31497500270631	10.4105633088265	23.9943159069494	6.50144992205167	3.92781016827247	2.23641010246661	2.16956727472385	1.72199931264932	1.9331802389045	2.00257069204431	1.49573900939399	1.35850926285778	1.34981379484626	"atpE"	"atpE(all5038)"	"Protein"	"rnase"
"cpcB(alr0528)"	"cpcB_rnase"	0.40674191021714	5.27032022178573	9.66718645912936	12.2407814372274	14.9476623919792	23.5199795682104	22.0472659520855	7.89102971609587	1.81081771795011	0.691027442681434	0.331097288136546	0.236454402510456	0.14799240035182	0.176811931296535	0.174276858336118	0.147631535578584	0.151343857743318	0.141578908684439	"cpcB"	"cpcB(alr0528)"	"Protein"	"rnase"
